Student_ID,College,Year_of_Study,Branch,CGPA,Backlogs_Active,Primary_Domain,Languages_Known,Frameworks_Known,LeetCode_Easy_Solved,LeetCode_Medium_Solved,LeetCode_Hard_Solved,Total_LeetCode_Solved,DSA_Consistency_Score_0to1,Daily_Coding_Streak_Days,Competitive_Programming_Tier,Number_of_Internships,Best_Internship_Quality,Number_of_Projects,Best_Project_Type,GitHub_Commit_Activity,Open_Source_PRs_Merged,System_Design_Level,System_Design_Books_Read,OS_Networking_Knowledge,Communication_Skill,Attitude_Towards_Prep,Mock_Interviews_Done,Behavioral_Prep_Level,Reading_Habits,Certifications,Hackathon_Wins,LinkedIn_Followers,Tech_Blog_Posts_Written,Resume_Quality,Referral_Status,Networking_Effort,Consistency_Score_0to1,Interview_Rounds_Cleared,Final_Offer_Status,FAANG_Ready_Label
T3CS0001,SIRT Bhopal,4,CSE,7.19,0,Android/iOS,"Java, Python, SQL, Go","TensorFlow, React, Next.js, PyTorch, Node.js",174,145,38,357,0.52,174,LeetCode Knight,1,Startup (<10 emp),6,Original Solo,Monthly,5,Knows basics well,None,Moderate,Average,Highly Motivated,20,Basic (STAR method),Occasional,Azure Fundamentals,0,2863,3,Good but not ATS,No Referral,Passive (just LinkedIn),0.58,0,No Offer,No
T3CS0002,Malwa Institute,3,CSE,9.78,0,Data Engineering,"Python, SQL, Go","Express, Flutter, FastAPI, Next.js, React",153,190,12,355,0.59,272,Pupil,1,Service Company (Tier-3),5,Production Deployed,Rarely,10,No idea,None,Moderate,Good,Highly Motivated,1,Practiced 10+,Occasional,Multiple Certs,0,2501,2,No Resume Yet,Yes - Weak Referral,Passive (just LinkedIn),0.74,1,Offer from Mid Company,No
T3CS0003,LNCT Bhopal,4,CSE,8.79,0,DevOps,"C++, JavaScript, Bash, TypeScript","Flutter, TensorFlow, Spring Boot, React, Node.js",111,168,118,397,0.58,258,Top 25% LeetCode,3,No Internship,3,Original Team,Monthly,5,Knows basics,None,Moderate,Average,Low Effort,10,Fully Prepped,Never,Google ML Crash Course,0,1947,10,Good but not ATS,Professor Referral,None,0.87,5,No Offer,No
T3CS0004,IES IPS Academy,4,CSE,8.19,0,ML/AI,"TypeScript, Bash",Express,70,55,51,176,0.2,0,LeetCode Knight,0,Small Startup (10-50),1,Open Source Contrib,Daily,5,No idea,DDIA,None,Average,Passive,1,Fully Prepped,Never,GCP Associate,1,1177,1,ATS Optimized,Alumni Referral,Active Outreach,0.53,3,No Offer,No
T3CS0005,Oriental College,4,CSE,6.2,0,Systems,"Rust, Java, C++, Go, SQL","PyTorch, React, Node.js",132,198,96,426,0.94,339,Top 50% LeetCode,0,No Internship,7,Open Source Contrib,Daily,20,Knows basics well,Grokking SD,Strong,Below Average,Low Effort,30,None,Daily Tech Reading,Azure Fundamentals,0,4760,0,Weak,Alumni Referral,Passive (just LinkedIn),0.94,0,No Offer,No
T3CS0006,SGSITS Indore,2,CSE,6.2,1,Cybersecurity,"Python, JavaScript","FastAPI, Node.js, Flutter",69,178,54,301,0.18,82,LeetCode Knight (near),1,No Internship,4,Original Solo,Daily,0,Knows basics,Multiple SD Books,Strong,Average,Highly Motivated,0,Practiced 10+,Weekly Tech Blogs,GCP Associate,1,11,10,Good but not ATS,Yes - Weak Referral,Passive (just LinkedIn),0.3,3,No Offer,No
T3CS0007,LNCT Bhopal,2,CSE,5.76,0,Cybersecurity,"C++, Python, Bash, JavaScript, Rust, Java",Node.js,179,223,74,476,0.77,185,LeetCode Guardian,0,Product Company,7,Original Team,Daily,1,Knows basics well,None,None,Excellent,Highly Motivated,15,Basic (STAR method),Weekly Tech Blogs,GCP Associate,2,4399,0,ATS Optimized + Strong,Professor Referral,None,0.83,0,FAANG Offer,Yes
T3CS0008,IIST Indore,3,CSE,9.4,0,Cybersecurity,"Go, TypeScript, Kotlin, Python, SQL, Java, Rust, C++",Express,102,158,27,287,0.59,380,Newbie,0,Product Company,2,Production Deployed,Monthly,50,Can design distributed systems,Grokking SD,Strong,Excellent,Neutral,20,Practiced 10+,Rarely,Azure Fundamentals,0,3364,0,ATS Optimized + Strong,Professor Referral,None,0.59,1,No Offer,No
T3CS0009,Renaissance College,2,CSE,8.21,4,DevOps,"JavaScript, Go, TypeScript, Python",Spring Boot,0,10,38,48,0.12,75,Expert (CF),0,Small Startup (10-50),1,Open Source Contrib,Rarely,3,Can design distributed systems,Grokking + DDIA,Strong,Poor,Neutral,30,Practiced 10+,Daily Tech Reading,Meta Frontend Cert,3,3022,0,ATS Optimized + Strong,No Referral,Passive (just LinkedIn),0.66,1,No Offer,No
T3CS0010,RJIT Gwalior,2,CSE,8.69,0,Systems,Go,"Node.js, Express, Django, PyTorch",40,103,60,203,0.25,161,Newbie,2,Mid Startup (50-200),3,Open Source Contrib,Rarely,0,Knows basics,None,Moderate,Good,Motivated,5,Practiced 10+,Rarely,None,0,3371,1,ATS Optimized + Strong,Yes - Strong Referral,Passive (just LinkedIn),0.47,2,Offer from Startup,No
